time,animal_number,death_factor_0,death_factor_1,age_median,age_min,age_025,age_075,age_max,age_mean,age_std,gene_0_median,gene_0_min,gene_0_025,gene_0_075,gene_0_max,gene_0_mean,gene_0_std,gene_1_median,gene_1_min,gene_1_025,gene_1_075,gene_1_max,gene_1_mean,gene_1_std
216,21332,-50,0.6909830056250551,3.0,0,1.0,7.0,54,5.017766735420964,5.501718303799226,0.5229590709005976,-3.6210577147911103,-0.11207595379539224,1.0949853583300642,4.112519475477619,0.4983619259402234,0.8999066551748435,2.948859658225316,0.9617005657726766,2.5592387955468205,3.3657688174714266,5.486376617603404,2.9709480459250712,0.6089717808202055
217,21610,-50,0.41221474770752753,3.0,0,1.0,7.0,55,5.03160573808422,5.504478061229476,0.521623001641953,-3.7023162747851766,-0.11316292776906463,1.0982888413167018,4.196698141797372,0.5007871384602108,0.9082556915842007,2.9565357320525782,0.9677998271288895,2.5582374010891105,3.3766602323323682,5.553948045961797,2.976857840681204,0.6119522945197124
218,22010,-50,0.1909830056250521,3.0,0,1.0,7.0,56,5.014175374829623,5.482579811089283,0.5077865709608256,-3.7599669684039805,-0.12707874342166553,1.0866806193998864,4.2164167917858935,0.48910457289237086,0.9090522822160705,2.9667085118862757,1.0125318211719863,2.561512205167558,3.3821473564854134,5.5577987418133485,2.982111021610225,0.6113958370319803
219,22280,-50,0.04894348370484558,3.0,0,1.0,7.0,56,5.0165619389587075,5.472728571577105,0.5116930914246189,-3.7346669681321782,-0.1169179656210716,1.0946975147216416,4.294546112161387,0.4940610410311343,0.9074971145834034,2.9624786657072617,0.9515991361366949,2.5588586352421085,3.3912620560487747,5.522363857472231,2.9838920740815853,0.6150436467829171
220,22596,-50,0.0,3.0,0,1.0,7.0,57,5.02597804921225,5.495470990028453,0.5135549549364944,-3.6269456534692703,-0.1177938606536407,1.0999012138258728,4.272024594213173,0.4957577275133398,0.9077054881873508,2.961725348480826,1.0033640101292216,2.5551369048172923,3.3863117018836557,5.586921126452909,2.9789008462948936,0.6177630310567003
221,22861,-50,0.048943483704843915,3.0,0,1.0,7.0,58,5.014872490267267,5.48092573653511,0.5170200186409872,-3.6581489113866583,-0.11097655515166852,1.1096204927284472,4.2069757432496715,0.49854660959153735,0.9092468865637416,2.959727732462524,0.9793218985472111,2.550889823935831,3.391773707472687,5.643723292535222,2.97873715814406,0.6222770712106062
222,23130,-50,0.19098300562504889,3.0,0,1.0,7.0,53,5.014094249891915,5.461936065205721,0.5181600047584538,-3.686081141222899,-0.11445916004237551,1.1130032360464366,4.20985652072817,0.5010031314645407,0.9108422353590774,2.9621956652472727,1.0086899452037212,2.544624669127847,3.3973694980973006,5.698340019448279,2.976030144681992,0.6252911675433007
223,23406,-50,0.4122147477075232,3.0,0,1.0,7.0,53,5.006451337263949,5.466098924643541,0.5230432048392675,-3.7441909637350093,-0.10944308109840331,1.1157560270456872,4.262199099279915,0.5062239679822409,0.9147396145696263,2.9712833902435802,1.0814482438403137,2.5506284098917305,3.4014135931794276,5.548914109553389,2.983459722328239,0.6268231506518591
224,23466,-50,0.69098300562505,3.0,0,1.0,7.0,54,5.0129122986448476,5.458907522217706,0.5196299124249388,-3.6741383447632745,-0.1221341103093711,1.1120065515705966,4.2612205722141345,0.5007908048366063,0.9159204886236149,2.969636379097996,1.0892589215699966,2.5526335632938832,3.4097826473185777,5.612558075196679,2.986519612828829,0.6260645733586769
225,23419,-50,0.999999999999999,3.0,0,1.0,7.0,55,4.997267176224433,5.442971364741275,0.5122592656629262,-3.599109373304001,-0.12869969975283602,1.1078302824286803,4.348751859805186,0.4975105460065463,0.9177162757143251,2.9697220453370203,1.077217347715235,2.5552678977904923,3.4068322975031444,5.620402266923632,2.9871934910843425,0.6249882688278801
226,23449,-50,1.3090169943749481,3.0,0,1.0,7.0,56,4.996758923621476,5.4237304156586355,0.5122926186110272,-3.5398065481542664,-0.12144209931621464,1.1125480055885257,4.262335306192215,0.4964425811589812,0.9135014306157456,2.9715853120324693,1.0603147107892978,2.558060934368989,3.4211973981154564,5.6646015115059,2.9948005306074728,0.627871339479284
227,23223,-50,1.5877852522924751,3.0,0,1.0,7.0,57,5.035869612022564,5.477135637926494,0.51121388118616,-3.581293721942007,-0.11751387870213766,1.119782144520056,4.266578992588573,0.4994949864449107,0.9203298500156558,2.9734466365044705,0.9992729387060514,2.55990777375617,3.428021791074068,5.704818382633021,2.999573547211667,0.6334994148725617
228,22915,-50,1.8090169943749501,3.0,0,1.0,7.0,58,5.045123281693214,5.508160856910824,0.5108977260140648,-3.600271538370512,-0.1229891136961858,1.1175762517848336,4.2467394445252005,0.4975506445936904,0.9228190021736419,2.9800253560533347,1.0249432989512683,2.5646186492096774,3.434988371856888,5.643740952207828,3.0063636566303384,0.6355274997972572
229,22416,-50,1.951056516295151,3.0,0,1.0,7.0,55,5.028952533904354,5.505270533718061,0.5089839718800306,-3.660767220396883,-0.12388323472635407,1.118986033535438,4.283987831906839,0.5004616805114019,0.9204652162457961,2.992794176109995,1.0439008856232712,2.5793495170869662,3.451870675381464,5.740186646248678,3.0191666840046913,0.6367931864504598
230,21933,-50,2.0,3.0,0,1.0,7.0,56,5.031915378653171,5.51305079326747,0.5040767340566086,-3.726945812482974,-0.12524722307058878,1.1215481679273054,4.21057745869111,0.4984750667365001,0.9213658710475809,3.006600583679434,1.0011851778420455,2.5972644364915447,3.4581882747742,5.779018783761308,3.031966220219507,0.6330904189517664
231,21656,-50,1.951056516295155,3.0,0,1.0,7.0,57,5.033431843369043,5.558226045300734,0.5054754493641077,-3.7857845805474684,-0.13025160083622195,1.1233438080910387,4.240072953949801,0.4979063528573181,0.9230967051706626,3.0174044035018817,1.0176796771829413,2.603088543581694,3.4714150755005404,5.708658477752322,3.0442932173643573,0.6360017216061634
232,21405,-50,1.8090169943749492,3.0,0,1.0,7.0,58,5.050829245503387,5.569130629401599,0.5038581929287398,-3.7789578995653716,-0.1325927818662777,1.118042126013372,4.228598903954385,0.49141332904255963,0.9232119616280653,3.0350395523031404,0.9445516690538753,2.620772290255388,3.481427838048132,5.657543513736741,3.058442048843432,0.6329175978510572
233,21370,-50,1.587785252292474,3.0,0,1.0,7.0,55,5.030931211979411,5.557318438753444,0.5094965602742099,-3.711446314257318,-0.12612105733539317,1.1284523555543897,4.17060027775441,0.4910809735459988,0.9256821000807675,3.0588003669117976,0.8819122537268822,2.63611415509108,3.499964867245501,5.7293969789714705,3.077595418663578,0.6345429627407169
234,21382,-50,1.3090169943749468,3.0,0,1.0,7.0,56,5.043962211205687,5.554976363100572,0.5103124918863049,-3.779169463660639,-0.12852854965673655,1.1251602928622864,4.135303966735044,0.49170534169089747,0.928154989201932,3.070099142058327,0.8127743136527755,2.650704797091249,3.5094187434808917,5.7089405516454015,3.089424059055205,0.6351139883960548
235,21595,-50,0.9999999999999976,3.0,0,1.0,7.0,57,5.048020375086826,5.563330487739828,0.5048186316337627,-3.746714688132768,-0.12896804414907817,1.129405263077519,4.155022636194312,0.4915157369196771,0.9275488050013793,3.073945001528623,0.7416017508407462,2.652788303356586,3.519734303576481,5.612222354521392,3.0951554409129693,0.6392758279135291
